Country,Downloads,Percent
United States,86889,93.74%
Panama,2015,2.17%
Netherlands,1221,1.32%
United Kingdom,1100,1.19%
Germany,735,0.79%
Spain,300,0.32%
Mongolia,97,0.10%
Bangladesh,90,0.10%
Lithuania,51,0.06%
China,50,0.05%
Hong Kong,18,0.02%
Singapore,13,0.01%
India,10,0.01%
France,7,0.01%
Canada,6,0.01%
Ireland,6,0.01%
Israel,6,0.01%
Switzerland,5,0.01%
Greece,5,0.01%
Hungary,5,0.01%
Poland,5,0.01%
Sweden,5,0.01%
Belgium,4,0.00%
Denmark,4,0.00%
Norway,4,0.00%
Australia,3,0.00%
Brazil,3,0.00%
Cyprus,3,0.00%
Italy,3,0.00%
Papua New Guinea,3,0.00%
Turkey,3,0.00%
Argentina,2,0.00%
Czech Republic,2,0.00%
Saudi Arabia,2,0.00%
Finland,1,0.00%
Iceland,1,0.00%
Jordan,1,0.00%
South Korea,1,0.00%
Latvia,1,0.00%
Morocco,1,0.00%
Malta,1,0.00%
Mexico,1,0.00%
New Zealand,1,0.00%
Puerto Rico,1,0.00%
Portugal,1,0.00%
Tunisia,1,0.00%
South Africa,1,0.00%
